SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player
22024,201939,0022400919,2025-03-08,GSW vs. DET,W,33,8,22,0.364,4,15,0.267,12,12,1.0,1,2,3,4,1,0,4,1,32,9,1,Stephen Curry
22024,201939,0022400901,2025-03-06,GSW @ BKN,W,36,12,20,0.6,7,13,0.538,9,9,1.0,2,2,4,4,0,0,5,3,40,-16,1,Stephen Curry
22024,201939,0022400885,2025-03-04,GSW @ NYK,W,33,10,21,0.476,5,9,0.556,3,3,1.0,0,7,7,9,2,0,2,0,28,23,1,Stephen Curry
22024,201939,0022400875,2025-03-03,GSW @ CHA,W,30,6,14,0.429,3,9,0.333,6,8,0.75,1,2,3,10,1,1,1,3,21,13,1,Stephen Curry
22024,201939,0022400864,2025-03-01,GSW @ PHI,L,36,10,18,0.556,5,12,0.417,4,4,1.0,1,4,5,13,1,0,3,2,29,12,1,Stephen Curry
22024,201939,0022400845,2025-02-27,GSW @ ORL,W,34,16,25,0.64,12,19,0.632,12,12,1.0,0,4,4,3,2,0,4,0,56,15,1,Stephen Curry
22024,201939,0022400834,2025-02-25,GSW vs. CHA,W,24,6,14,0.429,2,9,0.222,1,1,1.0,0,4,4,6,1,0,2,2,15,27,1,Stephen Curry
22024,201939,0022400812,2025-02-23,GSW vs. DAL,W,29,12,20,0.6,3,8,0.375,3,3,1.0,0,4,4,7,1,0,2,3,30,14,1,Stephen Curry
22024,201939,0022400805,2025-02-21,GSW @ SAC,W,31,7,13,0.538,4,9,0.444,2,2,1.0,0,1,1,6,2,0,1,0,20,0,1,Stephen Curry
22024,201142,0022400909,2025-03-07,PHX @ DEN,L,46,10,16,0.625,3,7,0.429,6,7,0.857,0,9,9,5,0,0,3,1,29,-5,1,Kevin Durant
22024,201142,0022400889,2025-03-04,PHX vs. LAC,W,41,10,22,0.455,4,11,0.364,10,10,1.0,0,7,7,4,1,2,2,2,34,16,1,Kevin Durant
22024,201142,0022400873,2025-03-02,PHX vs. MIN,L,38,10,23,0.435,3,9,0.333,3,7,0.429,1,9,10,4,0,2,4,2,26,-16,1,Kevin Durant
22024,201142,0022400857,2025-02-28,PHX vs. NOP,W,35,7,10,0.7,2,2,1.0,1,1,1.0,1,1,2,6,3,0,2,3,17,22,1,Kevin Durant
